AccusedId,Qid,year,latitude,longitude
A/EGD/728,Q217831,1695,55.95,-4.766666667
A/EGD/729,Q2146505,1699,55.8362,-4.5537
A/EGD/733,Q217831,1697,55.95,-4.766666667
A/EGD/734,Q217831,1695,55.95,-4.766666667
A/EGD/735,Q1414040,1699,55.8615,-4.3083
A/EGD/736,Q1414040,1699,55.8615,-4.3083
A/EGD/737,Q1414040,1699,55.8615,-4.3083
A/EGD/742,Q3995788,1708,56.05,-3.55
A/EGD/744,Q652035,1708,55.06666667,-3.616666667
A/EGD/747,Q3776576,1611,56.5776,-3.45195
A/EGD/768,Q615693,1658,55.86666667,-4.366666667
A/EGD/771,Q654216,1651,55.46388889,-4.627777778
A/EGD/773,Q1011387,1658,54.81666667,-4.033333333
A/EGD/774,Q1011387,1656,54.81666667,-4.033333333
A/EGD/775,Q654216,1658,55.46388889,-4.627777778
A/EGD/779,Q1011387,1659,54.81666667,-4.033333333
A/EGD/781,Q1011387,1659,54.81666667,-4.033333333
A/EGD/782,Q652035,1658,55.06666667,-3.616666667
A/EGD/783,Q652035,1659,55.06666667,-3.616666667
A/EGD/785,Q652035,1658,55.06666667,-3.616666667
A/EGD/786,Q1011387,1659,54.81666667,-4.033333333
A/EGD/787,Q4986712,1658,54.942,-3.866
A/EGD/796,Q1017204,1662,55.7194,-2.74855
A/EGD/797,Q1017204,1671,55.7194,-2.74855
A/EGD/799,Q1714424,1671,55.5667,-2.4667
A/EGD/800,Q1714424,1671,55.5667,-2.4667
A/EGD/801,Q1714424,1671,55.5667,-2.4667
A/EGD/803,Q1011507,1679,55.65,-3.18
A/EGD/804,Q1011507,1679,55.65,-3.18
A/EGD/809,Q1017204,1679,55.7194,-2.74855
A/EGD/811,Q7242055,1677,55.9597,-2.961
A/EGD/812,Q5454932,1679,55.9463,-3.0583
A/EGD/813,Q5454932,1679,55.9463,-3.0583
A/EGD/814,Q1011507,1679,55.65,-3.18
A/EGD/815,Q1011691,1708,55.7,-2.466666667
A/EGD/817,Q727520,1709,55.86666667,-3.066666667
A/EGD/819,Q1011685,1704,56.21305556,-2.728611111
A/EGD/820,Q1011685,1704,56.21305556,-2.728611111
A/EGD/822,Q1012401,1587,55.477,-2.546
A/EGD/824,Q1011521,1597,56.05,-3.233333333
A/EGD/825,Q1265921,1598,56.55833333,-3.583333333
A/EGD/826,Q1265921,1598,56.55833333,-3.583333333
A/EGD/831,Q2020376,1598,55.8833,-3.11667
A/EGD/834,Q1020260,1606,55.86944444,-2.090555556
A/EGD/836,Q37718,1609,55.93333333,-3.05
A/EGD/839,Q182923,1617,56.11944444,-3.935833333
A/EGD/849,Q1002133,1612,55.99833333,-2.522777778
A/EGD/850,Q1002133,1612,55.99833333,-2.522777778
A/EGD/851,Q1002133,1612,55.99833333,-2.522777778
A/EGD/852,Q5139565,1613,55.9329,-2.36018
A/EGD/854,Q1012401,1613,55.477,-2.546
A/EGD/855,Q1012401,1613,55.477,-2.546
A/EGD/856,Q1012401,1613,55.477,-2.546
A/EGD/857,Q4567587,1613,57.1281,-2.68667
A/EGD/865,Q614314,1616,56.18888889,-3.973611111
